epoch,train_loss,val_loss,train_acc,val_acc,lr,epoch_time_sec
1,2.276255154418945,2.225975784301758,0.1406,0.203,5e-05,3.4455429000008735
2,2.14092964553833,2.0558690185546875,0.2272,0.252,5e-05,3.582560900002136
3,2.030268717956543,1.9724210567474365,0.2592,0.281,5e-05,3.4084723999985727
4,1.9810691017150879,1.9339957342147827,0.2684,0.307,5e-05,3.5794313000005786
5,1.9281586883544921,1.8754701776504517,0.2794,0.336,5e-05,3.6616403000007267
6,1.8980322828292846,1.8454602947235108,0.3002,0.334,5e-05,3.6624439000006532
7,1.8629901302337646,1.7877174549102783,0.3102,0.352,5e-05,3.5652611999976216
8,1.824685322189331,1.750596212387085,0.3292,0.371,5e-05,3.523575200000778
9,1.7956889554977418,1.7073214435577393,0.3372,0.389,5e-05,3.645867900006124
10,1.7588007331848146,1.7079890966415405,0.356,0.381,5e-05,3.529778299998725
11,1.7425472343444823,1.6576450176239013,0.3534,0.391,5e-05,3.5737598999985494
12,1.7151268753051758,1.6401075811386108,0.369,0.403,5e-05,3.8008434000003035
13,1.7045299842834474,1.6324511127471923,0.3674,0.394,5e-05,3.6860444999983883
14,1.6765287021636963,1.6210451488494872,0.3836,0.405,5e-05,3.7162414000049466
15,1.6662001825332642,1.608884656906128,0.3922,0.386,5e-05,3.692815199996403
16,1.6460494224548339,1.5712166538238526,0.3892,0.413,5e-05,3.5128441999986535
17,1.6427359020233154,1.55423597240448,0.4028,0.422,5e-05,3.7108101999983774
18,1.630408243560791,1.5514151020050049,0.3922,0.416,5e-05,3.6802723000000697
19,1.6160101207733155,1.5602316846847535,0.4068,0.428,5e-05,3.5933586999963154
20,1.5992240919113159,1.5159904460906983,0.407,0.434,5e-05,3.744924300001003
